question_text;answer_text;poryadkovyi_numbar
Подлежат ли применению нормы локальных нормативных актов, ухудшающие положение работников по сравнению с установленным трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором? (Ст. 8.);Не подлежат;1
На каком основании возникают трудовые отношения между работником и работодателем? (Ст. 16.);Все перечисленные ответы верны;3
На кого распространяется действие коллективного договора? (Ст. 43.);На всех работников организации;3
На какой срок может заключаться коллективный договор? (Ст. 43.);На срок не более трех лет;1
Разрешается ли требовать от работника выполнения работы, не обусловленной трудовым договором? (Ст. 60.);Запрещается, за исключением случаев, предусмотренных Трудовым Кодексом и иными федеральными законами;1
Какой максимальный срок испытания может устанавливаться для работников при приеме на работу, в целях проверки их соответствия поручаемой работе? (Ст. 70.);Не более 3х месяцев, а для руководителей организаций и их заместителей, главных бухгалтеров и их заместителей, руководителей филиалов - шести месяцев, если иное не установлено федеральным законом;4
Для каких лиц испытание при приеме на работу не устанавливается? (Ст. 70.);Все перечисленные ответы верны;5
Имеет ли работодатель право при неудовлетворительном результате испытания расторгнуть трудовой договор с работником до истечения срока испытания? (Ст. 71.);Имеет, предупредив работника об этом в письменной форме не позднее чем за три дня с указанием причин, послуживших основанием для признания этого работника не выдержавшим испытание, без учета мнения соответствующего профсоюзного органа и без выплаты выходного пособия;2
Требует ли согласия работника перемещение его у того же работодателя на другое рабочее место, в другое структурное подразделение, расположенное в той же местности, поручение ему работы на другом механизме или агрегате? (Ст. 72);Не требует если это не влечет за собой изменения определенных сторонами условий трудового договора;2
На какой срок по соглашению сторон, заключаемому в письменной форме, работник может быть временно переведен на другую работу у того же работодателя? (Ст. 72);До одного года;2
Допускается ли временный перевод работника без его согласия на не обусловленную трудовым договором работу у того же работодателя? (Ст. 72);Допускается в случаях, указанных в двух других ответах;3
В какой срок работодатель обязан уведомить работника в письменной форме о предстоящих изменениях определенных сторонами условий трудового договора, а также о причинах, вызвавших необходимость таких изменений? (Ст. 74.);За 2 месяца;2
Производится ли оплата в случаях отстранения от работы работника, который не прошел обучение и проверку знаний и навыков в области охраны труда либо обязательный предварительный или периодический медицинский осмотр (обследование) не по своей вине? (Ст. 76.);Производится за все время отстранения от работы как за простой;1
Какого работника работодатель обязан отстранить от работы (не допускать к работе)? (Ст. 76.);Все перечисленные ответы верны;4
Назовите общие основания прекращения трудового договора? (Ст. 77.);Все перечисленные ответы верны;4
Прекращается ли действие срочного трудового договора по истечении срока, на который он был заключен? (Ст. 79.);Прекращается;1
Назовите условия расторжения трудового договора по инициативе работника (по собственному желанию). (Ст. 80.);Предупредив об этом работодателя в письменной форме не позднее, чем за две недели или по соглашению между работником и работодателем до истечения срока предупреждения об увольнении;1
Имеет ли право работник до истечения срока предупреждения об увольнении отозвать свое заявление? (Ст. 80.);Имеет в любое время;1
Может ли быть уволен работник по инициативе работодателя за совершение им прогула, а также в случае отсутствия на рабочем месте без уважительных причин более четырех часов подряд в течение рабочего дня (смены)? (Ст. 81.);Может;1
Допускается ли увольнение работника по инициативе работодателя в период его временной нетрудоспособности и в период пребывания в отпуске? (Ст. 81.);Не допускается за исключением случая ликвидации организации либо прекращения деятельности индивидуальным предпринимателем;2
